macro,name,source_url
SWITCH_CHANNEL_EXECUTE_ON_POST_BRIDGE_VARIABLE,execute_on_post_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L160
SWITCH_CHANNEL_API_ON_ANSWER_VARIABLE,api_on_answer,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L161
SWITCH_CHANNEL_API_ON_PRE_ANSWER_VARIABLE,api_on_pre_answer,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L163
SWITCH_CHANNEL_API_ON_MEDIA_VARIABLE,api_on_media,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L164
SWITCH_CHANNEL_API_ON_RING_VARIABLE,api_on_ring,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L165
SWITCH_CHANNEL_API_ON_TONE_DETECT_VARIABLE,api_on_tone_detect,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L166
SWITCH_CHANNEL_API_ON_ORIGINATE_VARIABLE,api_on_originate,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L167
SWITCH_CHANNEL_API_ON_POST_ORIGINATE_VARIABLE,api_on_post_originate,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L168
SWITCH_CHANNEL_API_ON_PRE_ORIGINATE_VARIABLE,api_on_pre_originate,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L169
SWITCH_CALL_TIMEOUT_VARIABLE,call_timeout,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L170
SWITCH_HOLDING_UUID_VARIABLE,holding_uuid,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L172
SWITCH_SOFT_HOLDING_UUID_VARIABLE,soft_holding_uuid,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L173
SWITCH_API_BRIDGE_END_VARIABLE,api_after_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L174
SWITCH_API_BRIDGE_START_VARIABLE,api_before_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L175
SWITCH_API_HANGUP_HOOK_VARIABLE,api_hangup_hook,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L176
SWITCH_API_REPORTING_HOOK_VARIABLE,api_reporting_hook,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L177
SWITCH_SESSION_IN_HANGUP_HOOK_VARIABLE,session_in_hangup_hook,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L178
SWITCH_PROCESS_CDR_VARIABLE,process_cdr,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L179
SWITCH_SKIP_CDR_CAUSES_VARIABLE,skip_cdr_causes,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L180
SWITCH_FORCE_PROCESS_CDR_VARIABLE,force_process_cdr,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L181
SWITCH_BRIDGE_CHANNEL_VARIABLE,bridge_channel,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L182
SWITCH_CHANNEL_NAME_VARIABLE,channel_name,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L183
SWITCH_BRIDGE_UUID_VARIABLE,bridge_uuid,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L184
SWITCH_CONTINUE_ON_FAILURE_VARIABLE,continue_on_fail,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L185
SWITCH_PLAYBACK_TERMINATORS_VARIABLE,playback_terminators,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L186
SWITCH_CACHE_SPEECH_HANDLES_VARIABLE,cache_speech_handles,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L188
SWITCH_BYPASS_MEDIA_VARIABLE,bypass_media,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L190
