symbol,return_type,parameters,binary_abi,source_url
switch_mutex_trylock,switch_status_t,switch_mutex_t *lock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L366
switch_atomic_init,switch_status_t,switch_memory_pool_t *pool,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L388
switch_atomic_read,uint32_t,volatile switch_atomic_t *mem,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L395
switch_atomic_set,void,"volatile switch_atomic_t *mem, uint32_t val",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L403
switch_atomic_add,void,"volatile switch_atomic_t *mem, uint32_t val",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L411
switch_atomic_inc,void,volatile switch_atomic_t *mem,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L418
switch_atomic_dec,int,volatile switch_atomic_t *mem,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L425
switch_thread_rwlock_create,switch_status_t,"switch_thread_rwlock_t ** rwlock, switch_memory_pool_t *pool",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L438
switch_thread_rwlock_destroy,switch_status_t,switch_thread_rwlock_t *rwlock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L439
switch_thread_rwlock_pool_get,switch_memory_pool_t *,switch_thread_rwlock_t *rwlock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L440
switch_thread_rwlock_rdlock,switch_status_t,switch_thread_rwlock_t *rwlock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L441
switch_thread_rwlock_tryrdlock,switch_status_t,switch_thread_rwlock_t *rwlock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L442
switch_thread_rwlock_wrlock,switch_status_t,switch_thread_rwlock_t *rwlock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L443
switch_thread_rwlock_trywrlock,switch_status_t,switch_thread_rwlock_t *rwlock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L444
switch_thread_rwlock_trywrlock_timeout,switch_status_t,"switch_thread_rwlock_t *rwlock, int timeout",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L445
switch_thread_rwlock_unlock,switch_status_t,switch_thread_rwlock_t *rwlock,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L446
switch_thread_cond_create,switch_status_t,"switch_thread_cond_t ** cond, switch_memory_pool_t *pool",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L472
switch_thread_cond_wait,switch_status_t,"switch_thread_cond_t *cond, switch_mutex_t *mutex",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L486
switch_thread_cond_timedwait,switch_status_t,"switch_thread_cond_t *cond, switch_mutex_t *mutex, switch_interval_time_t timeout",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L504
switch_thread_cond_signal,switch_status_t,switch_thread_cond_t *cond,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L513
switch_thread_cond_broadcast,switch_status_t,switch_thread_cond_t *cond,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L521
switch_thread_cond_destroy,switch_status_t,switch_thread_cond_t *cond,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L527
switch_uuid_format,void,"char *buffer, const switch_uuid_t *uuid",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L557
switch_uuid_get,void,switch_uuid_t *uuid,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L563
switch_uuid_parse,switch_status_t,"switch_uuid_t *uuid, const char *uuid_str",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L570
switch_md5,switch_status_t,"unsigned char digest[SWITCH_MD5_DIGESTSIZE], const void *input, switch_size_t inputLen",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L578
switch_md5_string,switch_status_t,"char digest_str[SWITCH_MD5_DIGEST_STRING_SIZE], const void *input, switch_size_t inputLen",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L579
switch_queue_create,switch_status_t,"switch_queue_t ** queue, unsigned int queue_capacity, switch_memory_pool_t *pool",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L598
switch_queue_pop,switch_status_t,"switch_queue_t *queue, void **data",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L609
switch_queue_pop_timeout,switch_status_t,"switch_queue_t *queue, void **data, switch_interval_time_t timeout",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L625
switch_queue_push,switch_status_t,"switch_queue_t *queue, void *data",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L636
switch_queue_size,unsigned int,switch_queue_t *queue,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L646
switch_queue_trypop,switch_status_t,"switch_queue_t *queue, void **data",not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L658
switch_queue_interrupt_all,switch_status_t,switch_queue_t *queue,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L660
switch_queue_term,switch_status_t,switch_queue_t *queue,not_verified,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_apr.h#L662
